image_idx,condition,gt_smiles,pred_smiles,valid,exact_match,tanimoto
3,mild,C[C@@H]1CC[C@H]2[C@@]3(CO3)C(O[C@H]4[C@@]25[C@H]1CC[C@](O4)(OO5)C)O,C[C@@H]1CC[C@@H]2[C@@]3(CO3)C(O)O[C@@]4([C@]52[C@@]1(C)CC[C@](C)(O4)OO5)I,True,False,0.3728813559322034
3,moderate,C[C@@H]1CC[C@H]2[C@@]3(CO3)C(O[C@H]4[C@@]25[C@H]1CC[C@](O4)(OO5)C)O,C[C@@H]1CC[C@@H]2[C@@]3(CO3)C(O)O[C@H]4[C@]52[C@]1(C)CC[C@](C)(O4)OO5,True,False,0.5686274509803921
3,severe,C[C@@H]1CC[C@H]2[C@@]3(CO3)C(O[C@H]4[C@@]25[C@H]1CC[C@](O4)(OO5)C)O,C[C@H]1CC[C@@H]2[C@@]3(CO3)C(O)O[C@@]4([C@]52[C@]1(C)CC[C@](C)(O4)OO5)Br,True,False,0.3728813559322034
4,clean,C1C[C@H]([C@@H](C1)O)CCCO,C1C[C@@H](CCCO)[C@@H](C1)O,True,True,1.0
4,mild,C1C[C@H]([C@@H](C1)O)CCCO,C1C[C@@H](CCCO)[C@@H](C1)O,True,True,1.0
4,moderate,C1C[C@H]([C@@H](C1)O)CCCO,C1C[C@@H](CCCO)[C@@H](C1)O,True,True,1.0
4,severe,C1C[C@H]([C@@H](C1)O)CCCO,C1C[C@@H](CCCO)[C@@H](C1)O,True,True,1.0
5,clean,C1=CC=NC(=C1)N2C=CSN2,C1=CC=NC(=C1)N2C=CSN2,True,True,1.0
5,mild,C1=CC=NC(=C1)N2C=CSN2,C1=CC=NC(=C1)N2C=CSN2,True,True,1.0
5,moderate,C1=CC=NC(=C1)N2C=CSN2,C1=CC=NC(=C1)N2C=CSN2,True,True,1.0
5,severe,C1=CC=NC(=C1)N2C=CSN2,C1=CC=NC(=C1)N2C=CSN2,True,True,1.0
6,clean,CCSN1CCN(CC1)SCC,CCSN1CCN(CC1)SCC,True,True,1.0
6,mild,CCSN1CCN(CC1)SCC,CCSN1CCN(CC1)SCC,True,True,1.0
6,moderate,CCSN1CCN(CC1)SCC,CCSN1CCN(CC1)SCC,True,True,1.0
6,severe,CCSN1CCN(CC1)SCC,CCSN1CCN(CC1)SCC,True,True,1.0
7,clean,B(C(C(O)F)N(CCO)CCO)(F)F,C(CO)N(CCO)C(C(F)O)B(F)F,True,True,1.0
7,mild,B(C(C(O)F)N(CCO)CCO)(F)F,C(CO)N(CCO)C(C(F)O)B(F)F,True,True,1.0
7,moderate,B(C(C(O)F)N(CCO)CCO)(F)F,C(CO)N(CCO)C(C(F)O)B(F)F,True,True,1.0
7,severe,B(C(C(O)F)N(CCO)CCO)(F)F,C(CO)N(CCO)C(C(F)O)B(F)F,True,True,1.0
8,clean,C1(=C(C(=O)SC1=O)Cl)Cl,C1(=C(C(=O)SC1=O)Cl)Cl,True,True,1.0
8,mild,C1(=C(C(=O)SC1=O)Cl)Cl,C1(=C(C(=O)SC1=O)Cl)Cl,True,True,1.0
8,moderate,C1(=C(C(=O)SC1=O)Cl)Cl,C1(=C(C(=O)SC1=O)Cl)Cl,True,True,1.0
8,severe,C1(=C(C(=O)SC1=O)Cl)Cl,C1(=C(C(=O)SC1=O)Cl)Cl,True,True,1.0
9,clean,CSC[C@@H](C(=O)O)N,CSC[C@@H](C(=O)O)N,True,True,1.0
9,mild,CSC[C@@H](C(=O)O)N,CSC[C@@H](C(=O)O)N,True,True,1.0
9,moderate,CSC[C@@H](C(=O)O)N,CSC[C@@H](C(=O)O)N,True,True,1.0
9,severe,CSC[C@@H](C(=O)O)N,CSC[C@@H](C(=O)O)N,True,True,1.0
